 본부명 , 지사명 , 노선명 , 구간 , 방 향 , 5km , 발생건수 ,위도,경도
강원,홍천,중앙선,315~320,부산,315,13,37.34098704,127.9125914
강원,홍천,중앙선,315~320,춘천,315,7,37.34098704,127.9125914
강원,홍천,중앙선,385~390,춘천,385,6,37.83876894,127.7779955
강원,강릉,동해선,65~70,속초,65,4,37.80291629,128.8238867
강원,대관령,영동선,230~235,인천,230,4,37.75493092,128.7965065
강원,원주,영동선,120~125,강릉,120,4,37.3461271,127.8714305
강원,홍천,중앙선,345~350,부산,345,4,37.57288403,127.9732079
강원,홍천,중앙선,380~385,부산,380,4,37.80220681,127.7716686
강원,홍천,중앙선,360~365,부산,360,4,37.6701836,127.8743817
강원,강릉,동해선,20~25,근덕,20,3,37.53076573,129.0955466
강원,강릉,동해선,50~55,속초,50,3,37.69083783,128.8971321
강원,대관령,영동선,160~165,강릉,160,3,37.49256431,128.2052831
강원,대관령,영동선,165~170,인천,165,3,37.51607231,128.250337
강원,원주,영동선,140~145,강릉,140,3,37.44539209,128.0360124
강원,원주,영동선,155~160,인천,155,3,37.47547139,128.155756
강원,원주,영동선,130~135,인천,130,3,37.40120957,127.9481384
강원,원주,영동선,100~105,인천,100,3,37.24914838,127.7146223
강원,홍천,중앙선,370~375,부산,370,3,37.72454318,127.7967582
강원,홍천,중앙선,340~345,부산,340,3,37.52998812,127.9787662
강원,홍천,중앙선,370~375,춘천,370,3,37.72454318,127.7967582
광주전남,함평,무안광주선,30~35,무안,30,5,35.0984857,126.6874541
광주전남,순천,호남선,15~20,천안,15,4,35.02851072,127.3225054
광주전남,함평,무안광주선,35~40,무안,35,4,35.11995266,126.7343378
광주전남,함평,무안광주선,10~15,무안,10,4,35.03032502,126.4896234
광주전남,함평,무안광주선,20~25,무안,20,4,35.06678093,126.5877008
광주전남,함평,서해안선,40~45,서울,40,4,35.15494396,126.4829252
광주전남,남원,광주대구선,60~65,광주,60,3,35.44407521,127.4358331
광주전남,남원,광주대구선,35~40,광주,35,3,35.36635794,127.1897231
광주전남,남원,광주대구선,90~95,대구,90,3,35.54331396,127.6965106
광주전남,남원,광주대구선,50~55,대구,50,3,35.4147937,127.3358398
광주전남,담양,호남선,50~55,순천,50,3,35.26162353,127.1393044
광주전남,순천,남해선,20~25,부산,20,3,34.97673035,127.6690088
광주전남,순천,호남선,20~25,순천,20,3,35.05398465,127.2799286
