통계표,지역별 경상수지,지역별 경상수지 지역코드,단위,변환,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"2.5.1.4. 지역별 경상수지","경상수지","총계","백만달러","원자료","10,180.8","2,165.2","4,066.1","11,308.3","29,289.9","12,208.6","2,094.8","10,472.5","1,753","33,087.6","27,950.5","16,638.2","48,790.6","77,258.9","83,029.6","105,118.6","97,923.7","75,230.9","77,466.5","59,676.1","75,902.2","85,228.2","25,828.6","35,488.2"
"2.5.1.4. 지역별 경상수지","경상수지","  미국","백만달러","원자료","9,808.3","8,328.7","8,700","10,249.4","19,887.7","11,768.8","10,558.2","14,587.7","15,936","15,236.9","13,090.8","18,102.5","18,026.3","35,218.6","41,504.2","33,437.7","31,426","24,972","24,665.5","19,108","32,798.5","45,536.2","68,969.1","91,246.8"
"2.5.1.4. 지역별 경상수지","경상수지","  중국","백만달러","원자료","1,403.4","-758","1,814","8,782.5","12,620.2","12,573.5","7,604.4","5,087.3","5,622.1","16,255.7","34,551.3","26,379.9","40,799.1","56,010","55,764.5","46,365.5","42,864.8","40,108.1","47,372.9","25,960.1","17,247.9","23,414.4","-8,452.1","-30,983.7"
"2.5.1.4. 지역별 경상수지","경상수지","  일본","백만달러","원자료","-8,489","-7,775.6","-14,136.6","-18,183.4","-23,600","-22,484.3","-25,524.2","-28,967","-23,942","-23,229.6","-32,612.9","-23,643.3","-19,217","-23,363.3","-16,428","-19,319.7","-21,846.1","-28,737.7","-24,700.3","-19,020.7","-20,216.7","-22,197","-17,692.4","-16,861.2"
"2.5.1.4. 지역별 경상수지","경상수지","  EU","백만달러","원자료","8,967.4","5,147.6","1,690","3,762.2","10,961.9","13,164.7","18,419.5","13,941.7","12,512.7","4,603.4","267","3,929.7","1,507.8","-5,157.3","-13,236.1","-7,477.8","-8,227.3","-10,889.9","-9,989.4","-5,589.7","-5,903.9","-627.5","5,512.9","6,388.3"
"2.5.1.4. 지역별 경상수지","경상수지","  동남아","백만달러","원자료","11,463.1","6,162","7,962.4","10,553","16,233.2","15,879.3","18,680.4","19,069.5","26,353.3","30,515.1","36,446.9","51,859.6","62,941.4","73,053","72,938.1","60,771.8","58,743.8","76,050.2","93,911","83,171.6","79,198.7","102,361.2","77,447.5","51,666.6"
"2.5.1.4. 지역별 경상수지","경상수지","  중동","백만달러","원자료","-17,402.2","-15,374.8","-12,374.8","-16,753.6","-20,796.9","-31,631.5","-45,004.9","-41,723.7","-63,607.9","-26,783.2","-43,966.9","-79,143","-80,718.7","-90,840.5","-80,628.6","-35,036.2","-27,039.9","-43,541.2","-61,287.6","-53,025.6","-28,257.8","-47,981.9","-88,431","-73,744.4"
"2.5.1.4. 지역별 경상수지","경상수지","  중남미","백만달러","원자료","5,003.6","5,111.2","5,454.8","4,709","6,341.8","7,450.4","9,110.7","13,299.3","19,303.9","13,759.3","18,150.7","17,748.2","17,595.3","16,943.9","18,277.3","13,195.6","9,803.9","8,243.1","7,963.5","3,986.1","-440.1","-359.1","-2,025.6","-590.7"
"2.5.1.4. 지역별 경상수지","경상수지","  기타","백만달러","원자료","-573.8","1,324.1","4,956.3","8,189.2","7,642","5,487.7","8,250.7","15,177.7","9,574.9","2,730","2,023.6","1,404.6","7,856.4","15,394.5","4,838.2","13,181.7","12,198.5","9,026.3","-469.1","5,086.3","1,475.6","-14,918.1","-9,499.8","8,366.5"
"2.5.1.4. 지역별 경상수지","  상품수지","총계","백만달러","원자료","15,392.5","9,406.5","14,413.6","22,138","39,173","32,492.5","24,514.5","32,436.1","11,746.1","48,055.6","47,932.3","28,014.3","48,589.3","80,259","86,145","120,275","116,461.7","113,592.9","110,086.8","79,812.1","80,604.8","75,730.9","15,620","34,092.4"
