"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","4","95","23.8","4","95","23.8","4","95","23.8","5","103","20.6","5","120","24","5","126","25.2","1","5","5","0","0","0","28","639","22.8","31","20.6"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","5","102","20.4","5","107","21.4","5","112","22.4","5","124","24.8","5","124","24.8","5","122","24.4","1","3","3","0","0","0","31","694","22.4","38","18.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000737","서울개원초등학교","02","공립","N","","3","58","19.3","2","51","25.5","3","60","20","3","64","21.3","3","60","20","4","105","26.3","1","8","8","0","0","0","19","406","21.4","24","16.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","6","154","25.7","4","112","28","5","120","24","5","124","24.8","6","160","26.7","4","113","28.3","0","0","0","0","0","0","30","783","26.1","35","22.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","N","","1","18","18","2","34","17","2","29","14.5","1","22","22","3","44","14.7","1","21","21","2","10","5","0","0","0","12","178","14.8","17","10.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","4","84","21","4","84","21","3","81","27","4","104","26","4","95","23.8","6","147","24.5","1","4","4","0","0","0","26","599","23","34","17.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","3","69","23","3","65","21.7","3","59","19.7","3","60","20","3","57","19","3","60","20","2","10","5","0","0","0","20","380","19","24","15.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","6","151","25.2","5","132","26.4","5","138","27.6","6","167","27.8","9","254","28.2","8","224","28","1","2","2","0","0","0","40","1068","26.7","48","22.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","8","264","33","7","242","34.6","8","278","34.8","9","305","33.9","10","319","31.9","10","349","34.9","0","0","0","0","0","0","52","1757","33.8","64","27.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","5","157","31.4","5","146","29.2","5","153","30.6","5","178","35.6","6","189","31.5","6","163","27.2","0","0","0","0","0","0","32","986","30.8","41","24"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","6","168","28","4","124","31","4","109","27.3","4","105","26.3","4","120","30","5","110","22","2","7","3.5","0","0","0","29","743","25.6","37","20.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","3","64","21.3","2","48","24","3","51","17","3","64","21.3","3","74","24.7","3","65","21.7","2","13","6.5","0","0","0","19","379","19.9","24","15.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","2","37","18.5","2","47","23.5","2","27","13.5","2","39","19.5","2","31","15.5","2","28","14","1","6","6","0","0","0","13","215","16.5","18","11.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","4","90","22.5","5","111","22.2","5","111","22.2","7","183","26.1","8","207","25.9","10","238","23.8","0","0","0","0","0","0","39","940","24.1","48","19.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","3","74","24.7","3","67","22.3","4","102","25.5","4","108","27","5","138","27.6","6","150","25","2","8","4","0","0","0","27","647","24","33","19.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","5","116","23.2","4","110","27.5","4","104","26","5","134","26.8","6","136","22.7","6","139","23.2","1","8","8","0","0","0","31","747","24.1","39","19.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","7","251","35.9","7","239","34.1","7","257","36.7","7","269","38.4","7","275","39.3","7","256","36.6","1","4","4","0","0","0","43","1551","36.1","52","29.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","8","263","32.9","8","265","33.1","7","242","34.6","8","273","34.1","10","296","29.6","9","262","29.1","0","0","0","0","0","0","50","1601","32","63","25.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000754","서울반포초등학교","02","공립","N","","4","123","30.8","5","140","28","5","137","27.4","7","176","25.1","8","203","25.4","8","211","26.4","0","0","0","0","0","0","37","990","26.8","47","21.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","N","","6","162","27","5","132","26.4","6","129","21.5","7","183","26.1","8","194","24.3","8","184","23","2","9","4.5","0","0","0","42","993","23.6","54","18.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","6","160","26.7","6","142","23.7","5","132","26.4","5","132","26.4","6","134","22.3","7","176","25.1","1","2","2","0","0","0","36","878","24.4","43","20.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","N","","2","48","24","3","58","19.3","2","52","26","3","62","20.7","4","72","18","3","65","21.7","0","0","0","0","0","0","17","357","21","24","14.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000758","서울봉은초등학교","02","공립","N","","4","115","28.8","4","94","23.5","4","87","21.8","4","101","25.3","4","101","25.3","5","107","21.4","0","0","0","0","0","0","25","605","24.2","33","18.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000759","서울삼릉초등학교","02","공립","N","","4","108","27","3","77","25.7","3","75","25","4","90","22.5","4","87","21.8","4","99","24.8","0","0","0","0","0","0","22","536","24.4","30","17.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000760","서울서래초등학교","02","공립","N","","7","201","28.7","7","220","31.4","7","226","32.3","8","249","31.1","8","237","29.6","8","222","27.8","2","12","6","0","0","0","47","1367","29.1","59","23.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000761","서울서원초등학교","02","공립","N","","6","198","33","6","166","27.7","6","173","28.8","7","189","27","6","165","27.5","6","165","27.5","2","18","9","0","0","0","39","1074","27.5","46","23.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000762","서울서이초등학교","02","공립","N","","9","239","26.6","7","191","27.3","7","190","27.1","7","209","29.9","7","184","26.3","7","184","26.3","0","0","0","0","0","0","44","1197","27.2","55","21.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000763","서울서일초등학교","02","공립","N","","4","90","22.5","4","109","27.3","4","81","20.3","4","95","23.8","4","99","24.8","3","82","27.3","1","4","4","0","0","0","24","560","23.3","30","18.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000764","서울서초초등학교","02","공립","N","","6","135","22.5","5","117","23.4","4","111","27.8","5","113","22.6","6","149","24.8","5","128","25.6","1","2","2","0","0","0","32","755","23.6","42","18"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000765","서울수서초등학교","02","공립","N","","4","86","21.5","3","46","15.3","3","62","20.7","3","50","16.7","3","57","19","3","58","19.3","1","4","4","0","0","0","20","363","18.2","27","13.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000766","서울신구초등학교","02","공립","N","","4","98","24.5","4","82","20.5","4","100","25","4","107","26.8","4","102","25.5","4","91","22.8","1","0","0","0","0","0","25","580","23.2","31","18.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000767","서울신동초등학교","02","공립","N","","7","242","34.6","7","236","33.7","6","212","35.3","7","265","37.9","9","272","30.2","9","273","30.3","0","0","0","0","0","0","45","1500","33.3","56","26.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000768","서울신중초등학교","02","공립","N","","6","146","24.3","6","150","25","6","143","23.8","6","135","22.5","6","155","25.8","7","160","22.9","1","3","3","0","0","0","38","892","23.5","45","19.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000769","서울압구정초등학교","02","공립","N","","6","160","26.7","6","156","26","5","131","26.2","7","176","25.1","6","162","27","5","124","24.8","0","0","0","0","0","0","35","909","26","44","20.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000770","서울양재초등학교","02","공립","N","","4","94","23.5","4","88","22","3","77","25.7","3","69","23","3","67","22.3","3","65","21.7","2","6","3","0","0","0","22","466","21.2","26","17.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000771","서울양전초등학교","02","공립","N","","3","72","24","4","89","22.3","4","85","21.3","4","84","21","4","89","22.3","5","123","24.6","0","0","0","0","0","0","24","542","22.6","31","17.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000772","서울언남초등학교","02","공립","N","","3","27","9","2","23","11.5","2","18","9","3","33","11","2","24","12","2","21","10.5","2","8","4","0","0","0","16","154","9.6","19","8.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000773","서울언북초등학교","02","공립","N","","9","329","36.6","8","295","36.9","8","284","35.5","9","345","38.3","8","281","35.1","7","244","34.9","2","8","4","0","0","0","51","1786","35","62","28.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000774","서울언주초등학교","02","공립","N","","8","216","27","7","211","30.1","7","177","25.3","7","190","27.1","7","205","29.3","8","196","24.5","2","13","6.5","0","0","0","46","1208","26.3","56","21.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000775","서울역삼초등학교","02","공립","N","","3","78","26","3","65","21.7","3","72","24","3","67","22.3","4","86","21.5","4","87","21.8","2","6","3","0","0","0","22","461","21","27","17.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000776","서울영희초등학교","02","공립","N","","3","66","22","3","61","20.3","2","55","27.5","3","66","22","3","70","23.3","3","74","24.7","2","10","5","0","0","0","19","402","21.2","24","16.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000777","서울왕북초등학교","02","공립","N","","3","87","29","2","55","27.5","4","74","18.5","4","91","22.8","4","99","24.8","3","75","25","1","7","7","0","0","0","21","488","23.2","26","18.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000778","서울우암초등학교","02","공립","N","","3","55","18.3","3","62","20.7","3","55","18.3","2","46","23","3","58","19.3","3","48","16","1","7","7","0","0","0","18","331","18.4","23","14.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000779","서울원명초등학교","02","공립","N","","7","235","33.6","7","250","35.7","6","239","39.8","7","288","41.1","7","271","38.7","7","242","34.6","0","0","0","0","0","0","41","1525","37.2","51","29.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000780","서울원촌초등학교","02","공립","N","","7","247","35.3","6","224","37.3","5","157","31.4","6","214","35.7","6","183","30.5","6","201","33.5","2","10","5","0","0","0","38","1236","32.5","45","27.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000781","서울이수초등학교","02","공립","N","","5","110","22","4","96","24","4","105","26.3","4","104","26","6","125","20.8","6","126","21","2","9","4.5","0","0","0","31","675","21.8","39","17.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000782","서울일원초등학교","02","공립","N","","6","170","28.3","5","116","23.2","5","122","24.4","6","149","24.8","6","155","25.8","6","140","23.3","0","0","0","0","0","0","34","852","25.1","42","20.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000783","서울잠원초등학교","02","공립","N","","10","346","34.6","10","313","31.3","8","274","34.3","8","289","36.1","10","323","32.3","8","262","32.8","0","0","0","0","0","0","54","1807","33.5","66","27.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000784","서울청담초등학교","02","공립","N","","5","124","24.8","4","91","22.8","4","86","21.5","5","120","24","5","117","23.4","5","131","26.2","0","0","0","0","0","0","28","669","23.9","35","19.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000785","서울포이초등학교","02","공립","N","","4","101","25.3","4","100","25","4","83","20.8","4","99","24.8","5","108","21.6","4","102","25.5","1","6","6","0","0","0","26","599","23","32","18.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000786","서울학동초등학교","02","공립","N","","4","97","24.3","5","100","20","3","67","22.3","4","89","22.3","5","115","23","4","104","26","0","0","0","0","0","0","25","572","22.9","31","18.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000897","서울가동초등학교","02","공립","N","","6","169","28.2","6","155","25.8","6","144","24","7","167","23.9","7","191","27.3","8","200","25","0","0","0","0","0","0","40","1026","25.7","49","20.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000899","서울가원초등학교","02","공립","N","","4","111","27.8","5","114","22.8","4","99","24.8","5","120","24","5","108","21.6","5","107","21.4","1","3","3","0","0","0","29","662","22.8","34","19.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000900","서울가주초등학교","02","공립","N","","6","174","29","7","176","25.1","6","155","25.8","8","210","26.3","7","181","25.9","7","175","25","0","0","0","0","0","0","41","1071","26.1","51","21"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000901","서울강덕초등학교","02","공립","N","","3","52","17.3","2","53","26.5","3","60","20","3","76","25.3","3","63","21","4","84","21","0","0","0","0","0","0","18","388","21.6","24","16.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000902","서울강동초등학교","02","공립","N","","6","138","23","5","124","24.8","5","122","24.4","7","158","22.6","6","150","25","6","153","25.5","2","9","4.5","0","0","0","37","854","23.1","43","19.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000903","서울강일초등학교","02","공립","N","","13","386","29.7","9","275","30.6","7","216","30.9","7","201","28.7","8","236","29.5","8","198","24.8","2","4","2","0","0","0","54","1516","28.1","64","23.7"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000904","서울거여초등학교","02","공립","N","","4","77","19.3","3","58","19.3","4","76","19","4","100","25","4","98","24.5","4","99","24.8","1","3","3","0","0","0","24","511","21.3","30","17"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000905","서울거원초등학교","02","공립","N","","9","242","26.9","9","221","24.6","8","216","27","10","245","24.5","9","223","24.8","8","208","26","0","0","0","0","0","0","53","1355","25.6","66","20.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000906","서울고덕초등학교","02","공립","N","","2","34","17","2","41","20.5","2","26","13","2","45","22.5","2","35","17.5","2","40","20","2","12","6","0","0","0","14","233","16.6","17","13.7"
